textbox1
"Contest Score Gender Report with Percentile-  10A 2021 
Location: United States"

score,Females,FemalesPerc,Males,MalesPerc,Unknown,UnknownPerc,All,AllStudentsPec,Females1,Males1,Unknowns,AllG
150.0,0,,2,100.00,1,100.00,3,100.00,8859,14031,4272,27162
145.5,0,,4,99.99,0,,4,99.99,8859,14031,4272,27162
144.0,0,,2,99.96,0,,2,99.98,8859,14031,4272,27162
141.0,1,100.00,4,99.95,0,,5,99.97,8859,14031,4272,27162
139.5,1,99.99,6,99.92,1,99.98,8,99.95,8859,14031,4272,27162
138.0,1,99.98,3,99.88,1,99.96,5,99.92,8859,14031,4272,27162
136.5,0,,2,99.86,1,99.93,3,99.91,8859,14031,4272,27162
135.0,2,99.97,12,99.84,1,99.91,15,99.89,8859,14031,4272,27162
133.5,1,99.95,4,99.76,2,99.89,7,99.84,8859,14031,4272,27162
132.0,0,,17,99.73,3,99.84,20,99.81,8859,14031,4272,27162
130.5,2,99.94,13,99.61,1,99.77,16,99.74,8859,14031,4272,27162
129.0,0,,9,99.51,0,,9,99.68,8859,14031,4272,27162
127.5,4,99.91,12,99.45,2,99.75,18,99.65,8859,14031,4272,27162
126.0,6,99.87,17,99.36,3,99.70,26,99.58,8859,14031,4272,27162
124.5,1,99.80,5,99.24,1,99.63,7,99.49,8859,14031,4272,27162
123.0,2,99.79,19,99.21,5,99.61,26,99.46,8859,14031,4272,27162
121.5,6,99.77,18,99.07,1,99.49,25,99.36,8859,14031,4272,27162
120.0,5,99.70,24,98.94,2,99.47,31,99.27,8859,14031,4272,27162
118.5,5,99.64,17,98.77,1,99.42,23,99.16,8859,14031,4272,27162
117.0,8,99.59,22,98.65,5,99.40,35,99.07,8859,14031,4272,27162
115.5,5,99.50,22,98.49,5,99.28,32,98.94,8859,14031,4272,27162
114.0,6,99.44,35,98.34,11,99.16,52,98.83,8859,14031,4272,27162
112.5,7,99.37,38,98.09,5,98.90,50,98.64,8859,14031,4272,27162
111.0,7,99.29,45,97.82,7,98.79,59,98.45,8859,14031,4272,27162
109.5,10,99.21,43,97.50,10,98.62,63,98.23,8859,14031,4272,27162
108.0,25,99.10,75,97.19,7,98.39,107,98.00,8859,14031,4272,27162
106.5,11,98.82,57,96.66,12,98.23,80,97.61,8859,14031,4272,27162
105.0,11,98.70,66,96.25,14,97.95,91,97.31,8859,14031,4272,27162
103.5,32,98.57,101,95.78,27,97.62,160,96.98,8859,14031,4272,27162
102.0,20,98.21,117,95.06,14,96.99,151,96.39,8859,14031,4272,27162
100.5,34,97.98,91,94.22,11,96.66,136,95.83,8859,14031,4272,27162
99.0,33,97.60,113,93.58,24,96.40,170,95.33,8859,14031,4272,27162
97.5,45,97.23,131,92.77,32,95.84,208,94.71,8859,14031,4272,27162
96.0,48,96.72,163,91.84,30,95.09,241,93.94,8859,14031,4272,27162
94.5,48,96.18,140,90.68,37,94.39,225,93.05,8859,14031,4272,27162
93.0,52,95.64,185,89.68,39,93.52,276,92.23,8859,14031,4272,27162
