textbox1
"Contest Score Gender Report with Percentile-  10B 2021 
Location: United States"

score,Females,FemalesPerc,Males,MalesPerc,Unknown,UnknownPerc,All,AllStudentsPec,Females1,Males1,Unknowns,AllG
150.0,0,,1,100.00,0,,1,100.00,6910,10783,651,18344
145.5,0,,1,100.00,1,100.00,2,100.00,6910,10783,651,18344
144.0,2,100.00,6,99.99,1,99.85,9,99.99,6910,10783,651,18344
141.0,3,99.98,9,99.93,0,,12,99.94,6910,10783,651,18344
139.5,0,,2,99.85,0,,2,99.87,6910,10783,651,18344
138.0,0,,5,99.83,0,,5,99.86,6910,10783,651,18344
136.5,2,99.93,5,99.78,0,,7,99.84,6910,10783,651,18344
135.0,2,99.90,9,99.74,0,,11,99.80,6910,10783,651,18344
133.5,0,,9,99.65,0,,9,99.74,6910,10783,651,18344
132.0,6,99.87,23,99.57,0,,29,99.69,6910,10783,651,18344
130.5,2,99.79,16,99.36,0,,18,99.53,6910,10783,651,18344
129.0,3,99.76,20,99.21,1,99.70,24,99.43,6910,10783,651,18344
127.5,2,99.72,17,99.02,0,,19,99.30,6910,10783,651,18344
126.0,10,99.69,30,98.86,1,99.54,41,99.20,6910,10783,651,18344
124.5,3,99.54,15,98.59,0,,18,98.97,6910,10783,651,18344
123.0,5,99.50,30,98.45,0,,35,98.88,6910,10783,651,18344
121.5,15,99.43,34,98.17,2,99.39,51,98.69,6910,10783,651,18344
120.0,8,99.21,46,97.85,2,99.08,56,98.41,6910,10783,651,18344
118.5,10,99.09,50,97.43,0,,60,98.10,6910,10783,651,18344
117.0,17,98.95,45,96.96,0,,62,97.78,6910,10783,651,18344
115.5,19,98.70,39,96.55,1,98.78,59,97.44,6910,10783,651,18344
114.0,11,98.43,61,96.18,3,98.62,75,97.12,6910,10783,651,18344
112.5,23,98.27,65,95.62,2,98.16,90,96.71,6910,10783,651,18344
111.0,31,97.94,63,95.02,3,97.85,97,96.22,6910,10783,651,18344
109.5,20,97.49,80,94.43,1,97.39,101,95.69,6910,10783,651,18344
108.0,24,97.20,92,93.69,1,97.24,117,95.14,6910,10783,651,18344
