textbox1
"Contest Score Gender Report with Percentile-  10A 2021 
Location: United States"

score,Females,FemalesPerc,Males,MalesPerc,Unknown,UnknownPerc,All,AllStudentsPec,Females1,Males1,Unknowns,AllG
150.0,1,100.00,24,100.00,1,100.00,26,100.00,8562,13772,915,23249
145.5,7,99.99,15,99.83,0,,22,99.89,8562,13772,915,23249
144.0,2,99.91,22,99.72,4,99.90,28,99.80,8562,13772,915,23249
141.0,2,99.89,15,99.56,0,,17,99.68,8562,13772,915,23249
139.5,4,99.86,13,99.45,0,,17,99.60,8562,13772,915,23249
138.0,1,99.82,22,99.36,0,,23,99.53,8562,13772,915,23249
136.5,5,99.81,19,99.20,0,,24,99.43,8562,13772,915,23249
135.0,3,99.75,17,99.06,1,99.46,21,99.33,8562,13772,915,23249
133.5,1,99.71,13,98.94,0,,14,99.24,8562,13772,915,23249
132.0,10,99.70,39,98.84,2,99.35,51,99.18,8562,13772,915,23249
130.5,5,99.58,26,98.56,1,99.13,32,98.96,8562,13772,915,23249
129.0,4,99.53,24,98.37,0,,28,98.82,8562,13772,915,23249
127.5,9,99.48,43,98.20,2,99.02,54,98.70,8562,13772,915,23249
126.0,14,99.37,56,97.88,0,,70,98.47,8562,13772,915,23249
124.5,7,99.21,33,97.48,2,98.80,42,98.17,8562,13772,915,23249
123.0,14,99.13,60,97.24,1,98.58,75,97.99,8562,13772,915,23249
121.5,16,98.97,48,96.80,4,98.47,68,97.67,8562,13772,915,23249
120.0,16,98.78,43,96.45,2,98.04,61,97.37,8562,13772,915,23249
118.5,22,98.59,76,96.14,4,97.82,102,97.11,8562,13772,915,23249
117.0,9,98.33,61,95.59,2,97.38,72,96.67,8562,13772,915,23249
115.5,10,98.23,54,95.15,1,97.16,65,96.36,8562,13772,915,23249
114.0,34,98.11,106,94.76,4,97.05,144,96.08,8562,13772,915,23249
112.5,35,97.72,86,93.99,5,96.62,126,95.46,8562,13772,915,23249
111.0,20,97.31,58,93.36,1,96.07,79,94.92,8562,13772,915,23249
