textbox1
"Contest Score Gender Report with Percentile-  10B 2021 
Location: United States"

score,Females,FemalesPerc,Males,MalesPerc,Unknown,UnknownPerc,All,AllStudentsPec,Females1,Males1,Unknowns,AllG
150.0,0,,2,100.00,0,,2,100.00,7467,11949,3755,23171
145.5,0,,5,99.99,1,100.00,6,100.00,7467,11949,3755,23171
144.0,1,100.00,5,99.95,0,,6,99.97,7467,11949,3755,23171
141.0,1,99.99,0,,0,,1,99.94,7467,11949,3755,23171
139.5,3,99.98,1,99.90,0,,4,99.94,7467,11949,3755,23171
138.0,0,,3,99.90,0,,3,99.92,7467,11949,3755,23171
136.5,0,,3,99.87,0,,3,99.91,7467,11949,3755,23171
135.0,1,99.94,9,99.85,2,99.98,12,99.90,7467,11949,3755,23171
133.5,1,99.92,6,99.77,0,,7,99.85,7467,11949,3755,23171
132.0,1,99.91,13,99.72,0,,14,99.82,7467,11949,3755,23171
130.5,4,99.90,12,99.61,0,,16,99.75,7467,11949,3755,23171
129.0,2,99.84,7,99.51,1,99.93,10,99.69,7467,11949,3755,23171
127.5,3,99.82,11,99.45,1,99.90,15,99.64,7467,11949,3755,23171
126.0,8,99.78,14,99.36,3,99.87,25,99.58,7467,11949,3755,23171
124.5,0,,8,99.24,3,99.79,11,99.47,7467,11949,3755,23171
123.0,4,99.67,19,99.18,4,99.71,27,99.42,7467,11949,3755,23171
121.5,5,99.62,20,99.02,2,99.61,27,99.31,7467,11949,3755,23171
120.0,4,99.55,21,98.85,0,,25,99.19,7467,11949,3755,23171
118.5,6,99.50,18,98.67,3,99.55,27,99.08,7467,11949,3755,23171
117.0,8,99.42,29,98.52,3,99.47,40,98.96,7467,11949,3755,23171
115.5,3,99.31,25,98.28,6,99.39,34,98.79,7467,11949,3755,23171
114.0,6,99.27,42,98.07,5,99.23,53,98.65,7467,11949,3755,23171
112.5,11,99.19,39,97.72,6,99.10,56,98.42,7467,11949,3755,23171
111.0,11,99.04,31,97.39,4,98.94,46,98.18,7467,11949,3755,23171
109.5,9,98.89,43,97.13,7,98.83,59,97.98,7467,11949,3755,23171
108.0,26,98.77,60,96.77,17,98.65,103,97.72,7467,11949,3755,23171
106.5,11,98.42,50,96.27,9,98.19,70,97.28,7467,11949,3755,23171
105.0,17,98.28,48,95.85,6,97.95,71,96.98,7467,11949,3755,23171
103.5,24,98.05,97,95.45,17,97.79,138,96.67,7467,11949,3755,23171
102.0,29,97.73,87,94.64,12,97.34,128,96.07,7467,11949,3755,23171
100.5,20,97.34,56,93.91,8,97.02,84,95.52,7467,11949,3755,23171
99.0,35,97.07,100,93.44,25,96.81,160,95.16,7467,11949,3755,23171
97.5,39,96.60,119,92.61,25,96.14,183,94.47,7467,11949,3755,23171
96.0,33,96.08,130,91.61,16,95.48,179,93.68,7467,11949,3755,23171
94.5,40,95.64,87,90.52,29,95.05,156,92.91,7467,11949,3755,23171
93.0,53,95.10,96,89.79,37,94.28,186,92.23,7467,11949,3755,23171
91.5,38,94.39,147,88.99,27,93.29,212,91.43,7467,11949,3755,23171
90.0,69,93.88,147,87.76,22,92.57,238,90.51,7467,11949,3755,23171
88.5,32,92.96,116,86.53,28,91.99,176,89.49,7467,11949,3755,23171
87.0,67,92.53,154,85.56,18,91.24,239,88.73,7467,11949,3755,23171
85.5,51,91.63,132,84.27,29,90.76,212,87.70,7467,11949,3755,23171
84.0,64,90.95,189,83.17,38,89.99,291,86.78,7467,11949,3755,23171
82.5,59,90.09,149,81.59,45,88.98,253,85.53,7467,11949,3755,23171
81.0,77,89.30,179,80.34,32,87.78,288,84.43,7467,11949,3755,23171
79.5,73,88.27,156,78.84,41,86.93,270,83.19,7467,11949,3755,23171
78.0,75,87.30,204,77.53,53,85.84,332,82.03,7467,11949,3755,23171
76.5,80,86.29,163,75.83,48,84.43,291,80.59,7467,11949,3755,23171
75.0,71,85.22,148,74.46,38,83.15,257,79.34,7467,11949,3755,23171
73.5,80,84.27,179,73.22,51,82.14,310,78.23,7467,11949,3755,23171
72.0,117,83.20,238,71.73,71,80.78,426,76.89,7467,11949,3755,23171
70.5,98,81.63,205,69.73,53,78.89,356,75.05,7467,11949,3755,23171
69.0,78,80.32,210,68.02,58,77.48,346,73.51,7467,11949,3755,23171
67.5,118,79.27,224,66.26,69,75.93,411,72.02,7467,11949,3755,23171
66.0,114,77.69,310,64.39,105,74.09,529,70.25,7467,11949,3755,23171
64.5,90,76.17,215,61.79,64,71.30,369,67.96,7467,11949,3755,23171
63.0,107,74.96,210,59.99,66,69.59,383,66.37,7467,11949,3755,23171
61.5,120,73.53,236,58.24,73,67.83,429,64.72,7467,11949,3755,23171
60.0,216,71.92,347,56.26,93,65.89,656,62.87,7467,11949,3755,23171
58.5,146,69.03,227,53.36,87,63.41,460,60.04,7467,11949,3755,23171
57.0,125,67.07,219,51.46,80,61.10,424,58.05,7467,11949,3755,23171
55.5,154,65.40,280,49.62,83,58.97,517,56.22,7467,11949,3755,23171
54.0,218,63.34,444,47.28,128,56.76,790,53.99,7467,11949,3755,23171
52.5,177,60.42,252,43.57,95,53.35,524,50.58,7467,11949,3755,23171
51.0,180,58.05,257,41.46,115,50.82,552,48.32,7467,11949,3755,23171
49.5,227,55.64,293,39.31,128,47.75,648,45.94,7467,11949,3755,23171
